"Constituency","ConstNo","LeadingCandidate","LeadingParty","TrailingCandidate","TrailingParty","Margin","Status","State"
"Adilabad","1","GODAM NAGESH","Telangana Rashtra Samithi","NARESH","Indian National Congress","171290","Counting In Progress","Andhra Pradesh"
"Amalapuram","24","DR PANDULA RAVINDRA BABU","Telugu Desam","PINIPE VISWARUPU","Yuvajana Sramika Rythu Congress Party","120576","Result Declared","Andhra Pradesh"
"Anakapalli","22","MUTTAMSETTI SRINIVASA RAO (AVANTHI)","Telugu Desam","GUDIVADA AMARNADH","Yuvajana Sramika Rythu Congress Party","47932","Counting In Progress","Andhra Pradesh"
"Anantapur","36","J.C. DIVAKAR REDDI","Telugu Desam","ANANTHA VENKATARAMIREDDY","Yuvajana Sramika Rythu Congress Party","61269","Result Declared","Andhra Pradesh"
"Aruku","18","KOTHAPALLI GEETHA","Yuvajana Sramika Rythu Congress Party","GUMMIDI SANDHYARANI","Telugu Desam","91398","Result Declared","Andhra Pradesh"
"Bapatla","32","MALYADRI SRIRAM","Telugu Desam","VARIKUTI AMRUTHAPANI","Yuvajana Sramika Rythu Congress Party","32754","Result Declared","Andhra Pradesh"
"Bhongir","14","DR. BOORA NARSAIAH GOUD","Telangana Rashtra Samithi","KOMATIREDDY RAJGOPAL REDDY","Indian National Congress","30494","Result Declared","Andhra Pradesh"
"CHELVELLA","10","KONDA VISHWESHWAR REDDY","Telangana Rashtra Samithi","PATLOLLA KARTIK REDDY","Indian National Congress","73023","Result Declared","Andhra Pradesh"
"Chittoor","42","NARAMALLI SIVAPRASAD","Telugu Desam","G.SAMANYAKIRAN","Yuvajana Sramika Rythu Congress Party","44138","Result Declared","Andhra Pradesh"
"Eluru","27","MAGANTI VENKATESWARA RAO (BABU)","Telugu Desam","THOTA CHANDRA SEKHAR","Yuvajana Sramika Rythu Congress Party","101926","Result Declared","Andhra Pradesh"
"Guntur","30","JAYADEV GALLA","Telugu Desam","BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party","69111","Result Declared","Andhra Pradesh"
"Hindupur","37","KRISTAPPA NIMMALA","Telugu Desam","DUDDUKUNTA SREEDHAR REDDY","Yuvajana Sramika Rythu Congress Party","97325","Result Declared","Andhra Pradesh"
"Hyderabad","9","ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen","DR.BHAGAVANTH RAO","Bharatiya Janata Party","202454","Result Declared","Andhra Pradesh"
"Kadapa","38","Y.S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party","SRINIVASA REDDY REDDEPPAGARI","Telugu Desam","180679","Counting In Progress","Andhra Pradesh"
"Kakinada","23","THOTA NARASIMHAM","Telugu Desam","CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party","3431","Result Declared","Andhra Pradesh"
"Karimnagar","3","VINOD KUMAR BOINAPALLY","Telangana Rashtra Samithi","PONNAM PRABHAKAR","Indian National Congress","205077","Result Declared","Andhra Pradesh"
"Khammam","17","PONGULETI  SRINIVASA REDDY","Yuvajana Sramika Rythu Congress Party","NAMA NAGESWARA RAO","Telugu Desam","11974","Counting In Progress","Andhra Pradesh"
"Kurnool","35","BUTTA RENUKA","Yuvajana Sramika Rythu Congress Party","B.T. NAIDU","Telugu Desam","44131","Result Declared","Andhra Pradesh"
"Machilipatnam","28","KONAKALLA NARAYANA RAO","Telugu Desam","KOLUSU PARTHA SARATHY","Yuvajana Sramika Rythu Congress Party","81057","Result Declared","Andhra Pradesh"
"Mahabubabad","16","PROF. AZMEERA SEETARAM NAIK","Telangana Rashtra Samithi","P. BALRAM","Indian National Congress","34992","Result Declared","Andhra Pradesh"
"Mahbubnagar","11","AP JITHENDER REDDY","Telangana Rashtra Samithi","JAIPAL REDDY SUDINI","Indian National Congress","2590","Result Declared","Andhra Pradesh"
"Malkajgiri","7","CH.MALLA REDDY","Telugu Desam","HANUMANTH RAO MYNAMPALLY","Telangana Rashtra Samithi","28371","Result Declared","Andhra Pradesh"
"Medak","6","KALVAKUNTLA CHANDRASEKHAR RAO","Telangana Rashtra Samithi","DR.P. SHRAVAN KUMAR REDDY","Indian National Congress","397029","Result Declared","Andhra Pradesh"
"Nagarkurnool","12","YELLAIAH NANDI","Indian National Congress","DR. MANDA JAGANNATH","Telangana Rashtra Samithi","16676","Counting In Progress","Andhra Pradesh"
"Nalgonda","13","GUTHA SUKHENDER REDDY","Indian National Congress","TERA CHINNAPA REDDY","Telugu Desam","193156","Result Declared","Andhra Pradesh"
"Nandyal","34","S.P.Y REDDY","Yuvajana Sramika Rythu Congress Party","N.MD.FAROOK","Telugu Desam","105766","Result Declared","Andhra Pradesh"
"Narasaraopet","31","SAMBASIVA RAO RAYAPATI","Telugu Desam","AYODHYA RAMIREDDY ALLA","Yuvajana Sramika Rythu Congress Party","35280","Result Declared","Andhra Pradesh"
"Narsapuram","26","GOKARAJU GANGA RAJU","Bharatiya Janata Party","VANKA RAVINDRANATH","Yuvajana Sramika Rythu Congress Party","85351","Counting In Progress","Andhra Pradesh"
"Nellore","39","MEKAPATI RAJAMOHAN REDDY","Yuvajana Sramika Rythu Congress Party","ADALA PRABHAKARA REDDY","Telugu Desam","13478","Result Declared","Andhra Pradesh"
"Nizamabad","4","KALVAKUNTLA KAVITHA","Telangana Rashtra Samithi","MADHU YASKHI GOUD","Indian National Congress","167184","Result Declared","Andhra Pradesh"
"Ongole","33","Y.V.SUBBA REDDY","Yuvajana Sramika Rythu Congress Party","MAGUNTA SREENIVASULU REDDY","Telugu Desam","15658","Result Declared","Andhra Pradesh"
"Peddapalle","2","BALKA SUMAN","Telangana Rashtra Samithi","G. VIVEKANAND","Indian National Congress","291158","Result Declared","Andhra Pradesh"
"Rajahmundry","25","MURALI MOHAN MAGANTI","Telugu Desam","BODDU VENKATARAMANA CHOWDARY","Yuvajana Sramika Rythu Congress Party","167434","Result Declared","Andhra Pradesh"
"Rajampet","41","P.V.MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party","D.  PURANDESWARI","Bharatiya Janata Party","174762","Result Declared","Andhra Pradesh"
"Secundrabad","8","BANDARU DATTATREYA","Bharatiya Janata Party","M.ANJAN KUMAR YADAV","Indian National Congress","254735","Result Declared","Andhra Pradesh"
"Srikakulam","19","RAMMOHAN NAIDU KINJARAPU","Telugu Desam","REDDY SHANTHI","Yuvajana Sramika Rythu Congress Party","127572","Result Declared","Andhra Pradesh"
"Tirupati","40","VARAPRASAD RAO VELAGAPALLI","Yuvajana Sramika Rythu Congress Party","KARUMANCHI JAYARAM","Bharatiya Janata Party","37425","Result Declared","Andhra Pradesh"
"Vijayawada","29","KESINENI SRINIVAS","Telugu Desam","KONERU RAJENDRA PRASAD","Yuvajana Sramika Rythu Congress Party","74862","Counting In Progress","Andhra Pradesh"
"Visakhapatnam","21","KAMBHAMPATI HARI BABU","Bharatiya Janata Party","Y.S VIJAYAMMA","Yuvajana Sramika Rythu Congress Party","84326","Counting In Progress","Andhra Pradesh"
"Vizianagaram","20","ASHOK GAJAPATHI RAJU PUSAPATI","Telugu Desam","VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU","Yuvajana Sramika Rythu Congress Party","106911","Result Declared","Andhra Pradesh"
"Warangal","15","KADIYAM SRIHARI","Telangana Rashtra Samithi","RAJAIAH SIRICILLA","Indian National Congress","392574","Result Declared","Andhra Pradesh"
"Zahirabad","5","B.B. PATIL","Telangana Rashtra Samithi","SURESH KUMAR SHETKAR","Indian National Congress","144631","Result Declared","Andhra Pradesh"
"ARUNACHAL EAST","2","NINONG ERING","Indian National Congress","TAPIR GAO","Bharatiya Janata Party","12478","Result Declared","Arunachal Pradesh"
"ARUNACHAL WEST","1","KIREN RIJIJU","Bharatiya Janata Party","TAKAM SANJOY","Indian National Congress","41738","Result Declared","Arunachal Pradesh"
"Autonomous District","3","BIREN SINGH ENGTI","Indian National Congress","JOY RAM ENGLENG","Bharatiya Janata Party","24095","Result Declared","Assam"
"Barpeta","6","SIRAJ UDDIN AJMAL","All India United Democratic Front","CHANDRA MOHAN PATOWARY","Bharatiya Janata Party","42341","Result Declared","Assam"
"Dhubri","4","BADRUDDIN AJMAL","All India United Democratic Front","WAZED ALI CHOUDHURY","Indian National Congress","229730","Result Declared","Assam"
"Dibrugarh","13","RAMESWAR TELI","Bharatiya Janata Party","PABAN SINGH GHATOWAR","Indian National Congress","185347","Result Declared","Assam"
"Gauhati","7","BIJOYA CHAKRAVARTY","Bharatiya Janata Party","MANASH BORAH","Indian National Congress","315784","Result Declared","Assam"
"Jorhat","12","KAMAKHYA PRASAD TASA","Bharatiya Janata Party","BIJOY KRISHNA HANDIQUE","Indian National Congress","102420","Result Declared","Assam"
"Kaliabor","11","GOURAV GOGOI","Indian National Congress","MRINAL KUMAR SAIKIA","Bharatiya Janata Party","93874","Result Declared","Assam"
"Karimganj","1","RADHESHYAM BISWAS","All India United Democratic Front","KRISHNA DAS","Bharatiya Janata Party","102094","Result Declared","Assam"
"Kokrajhar","5","NABA KUMAR SARANIA (HIRA)","Independent","URKHAO GWRA BRAHMA","Independent","355779","Result Declared","Assam"
"Lakhimpur","14","SARBANANDA SONOWAL","Bharatiya Janata Party","RANEE NARAH","Indian National Congress","292138","Result Declared","Assam"
"Mangaldoi","8","RAMEN DEKA","Bharatiya Janata Party","KIRIP CHALIHA","Indian National Congress","22884","Result Declared","Assam"
"Nowgong","10","RAJEN GOHAIN","Bharatiya Janata Party","JONJONALI BARUAH","Indian National Congress","143559","Result Declared","Assam"
"Silchar","2","SUSHMITA DEV","Indian National Congress","KABINDRA PURKAYASTHA","Bharatiya Janata Party","35241","Result Declared","Assam"
"Tezpur","9","RAM PRASAD SARMAH","Bharatiya Janata Party","BHUPEN KUMAR BORAH","Indian National Congress","86020","Result Declared","Assam"
"Araria","9","TASLEEM UDDIN","Rashtriya Janata Dal","PRADEEP KUMAR SINGH","Bharatiya Janata Party","146504","Result Declared","Bihar"
"Arrah","32","RAJ KUMAR SINGH","Bharatiya Janata Party","SRIBHAGWAN SINGH KUSHWAHA","Rashtriya Janata Dal","135870","Result Declared","Bihar"
"Aurangabad","37","SUSHIL KUMAR SINGH","Bharatiya Janata Party","NIKHIL KUMAR","Indian National Congress","66347","Result Declared","Bihar"
"Banka","27","JAI PRAKASH NARAYAN YADAV","Rashtriya Janata Dal","PUTUL KUMARI","Bharatiya Janata Party","10144","Result Declared","Bihar"
"Begusarai","24","BHOLA SINGH","Bharatiya Janata Party","MD. TANVEER HASSAN","Rashtriya Janata Dal","58335","Result Declared","Bihar"
"Bhagalpur","26","SHAILESH KUMAR URPH BULO MANDAL","Rashtriya Janata Dal","SYED SHAHNAWAZ HUSSAIN","Bharatiya Janata Party","9485","Result Declared","Bihar"
"Buxar","33","ASHWINI KUMAR CHOUBEY","Bharatiya Janata Party","JAGADANAND SINGH","Rashtriya Janata Dal","132338","Result Declared","Bihar"
"Darbhanga","14","KIRTI AZAD","Bharatiya Janata Party","MD. ALI ASHRAF FATMI","Rashtriya Janata Dal","35043","Result Declared","Bihar"
"Gaya (SC)","38","HARI MANJHI","Bharatiya Janata Party","RAMJI MANJHI","Rashtriya Janata Dal","115504","Result Declared","Bihar"
"Gopalganj (SC)","17","JANAK RAM","Bharatiya Janata Party","DR. JYOTI BHARTI","Indian National Congress","286936","Result Declared","Bihar"
"Hajipur (SC)","21","RAMVILAS PASWAN","Lok Jan Shakti Party","SANJEEV PRASAD TONI","Indian National Congress","225500","Result Declared","Bihar"
"Jahanabad","36","DR. ARUN KUMAR","Rashtriya Lok Samta Party","SURENDRA PRASAD YADAV","Rashtriya Janata Dal","42340","Result Declared","Bihar"
"Jamui (SC)","40","CHIRAG KUMAR PASWAN","Lok Jan Shakti Party","SUDHANSU SHEKHAR BHASKAR","Rashtriya Janata Dal","85947","Result Declared","Bihar"
"Jhanjharpur","7","BIRENDRA KUMAR CHAUDHARY","Bharatiya Janata Party","MANGANI LAL MANDAL","Rashtriya Janata Dal","55408","Result Declared","Bihar"
"Karakat","35","UPENDRA KUSHWAHA","Rashtriya Lok Samta Party","KANTI SINGH","Rashtriya Janata Dal","105241","Result Declared","Bihar"
"Katihar","11","TARIQ ANWAR","Nationalist Congress Party","NIKHIL KUMAR CHOUDHARY","Bharatiya Janata Party","114740","Result Declared","Bihar"
"Khagaria","25","CHOUDHARY MAHBOOB ALI KAISER","Lok Jan Shakti Party","KRISHNA KUMARI YADAV","Rashtriya Janata Dal","76003","Result Declared","Bihar"
"Kishanganj","10","MOHAMMAD ASRARUL HAQUE","Indian National Congress","DR DILIP  KUMAR JAISWAL","Bharatiya Janata Party","194612","Result Declared","Bihar"
