"candidate","Party","Votes","State","const","winner"
"RAJA, V.","Independent",695,"Tamil Nadu","Theni",0
"KARUPPIAH, R.","Independent",679,"Tamil Nadu","Theni",0
"RADHAKRISHNAN T","All India Anna Dravida Munnetra Kazhagam",406694,"Tamil Nadu","Virudhunagar",1
"VAIKO","Marumalarchi Dravida Munnetra Kazhagam",261143,"Tamil Nadu","Virudhunagar",0
"RETHINAVELU S","Dravida Munnetra Kazhagam",241505,"Tamil Nadu","Virudhunagar",0
"MANICKAM TAGORE B","Indian National Congress",38482,"Tamil Nadu","Virudhunagar",0
"SAMUELRAJ K","Communist Party of India  (Marxist)",20157,"Tamil Nadu","Virudhunagar",0
"None of the Above","None of the Above",12225,"Tamil Nadu","Virudhunagar",0
"SOUNDRAPANDIYAN K","Independent",3470,"Tamil Nadu","Virudhunagar",0
"SANTHANA KRISHNAN G","Tamil Nadu Makkal Congress",3411,"Tamil Nadu","Virudhunagar",0
"SOLAIRAJ K","Independent",2721,"Tamil Nadu","Virudhunagar",0
"DHANUSHKODI M","Independent",2522,"Tamil Nadu","Virudhunagar",0
"PALPANDI S DR","Independent",2342,"Tamil Nadu","Virudhunagar",0
"KARTHIKAISAMY P","Communist Party of India (Marxist-Leninist) Red Star",2249,"Tamil Nadu","Virudhunagar",0
"KAMALAVELSELVAN","Bahujan Samaj Party",1685,"Tamil Nadu","Virudhunagar",0
"MOHANRAJ J","Jebamani Janata",1517,"Tamil Nadu","Virudhunagar",0
"LAKSHMI KANDHAN S","Independent",1155,"Tamil Nadu","Virudhunagar",0
"KANNAN G","Independent",1133,"Tamil Nadu","Virudhunagar",0
"RADHAKRISHNAN PV","Independent",1068,"Tamil Nadu","Virudhunagar",0
"MAHALINGAM T","Desiya Forward Bloc",1017,"Tamil Nadu","Virudhunagar",0
"PANDIARAJAN R","Independent",922,"Tamil Nadu","Virudhunagar",0
"SATHESH M","Independent",903,"Tamil Nadu","Virudhunagar",0
"MANMATHAN M","Independent",714,"Tamil Nadu","Virudhunagar",0
"SURESH GANDHI C","Independent",711,"Tamil Nadu","Virudhunagar",0
"PALANICHAMY MALLAR P","Independent",700,"Tamil Nadu","Virudhunagar",0
"PRADEEPKUMAR D","Lok Satta Party",681,"Tamil Nadu","Virudhunagar",0
"MADHAVAN P","Independent",642,"Tamil Nadu","Virudhunagar",0
"MARIMUTHU C","Independent",629,"Tamil Nadu","Virudhunagar",0
"SANKAR A","Independent",532,"Tamil Nadu","Virudhunagar",0
"ANWHAR RAAJHAA.A","All India Anna Dravida Munnetra Kazhagam",405945,"Tamil Nadu","Ramanathapuram",1
"MOHAMED JALEEL .S","Dravida Munnetra Kazhagam",286621,"Tamil Nadu","Ramanathapuram",0
"KUPPURAMU .D","Bharatiya Janata Party",171082,"Tamil Nadu","Ramanathapuram",0
"THIRUNNAVUKKARASAR .SU","Indian National Congress",62160,"Tamil Nadu","Ramanathapuram",0
"NOOR JIYAVUDEEN.M.I","SOCIAL DEMOCRATIC PARTY OF INDIA",12541,"Tamil Nadu","Ramanathapuram",0
"UMA MAGESWARI R.T.","Communist Party of India",12312,"Tamil Nadu","Ramanathapuram",0
"ARASAKUMAR B.T.","Desiya Forward Bloc",10945,"Tamil Nadu","Ramanathapuram",0
"None of the Above","None of the Above",6279,"Tamil Nadu","Ramanathapuram",0
"GOPAL .R","Independent",3969,"Tamil Nadu","Ramanathapuram",0
"GOKILA .K","Independent",3471,"Tamil Nadu","Ramanathapuram",0
"ANNAMALAI .S","Independent",3125,"Tamil Nadu","Ramanathapuram",0
"MANIVASAGAM","Independent",2684,"Tamil Nadu","Ramanathapuram",0
"SIVAGURUNATHAN .K","Bahujan Samaj Party",2123,"Tamil Nadu","Ramanathapuram",0
"KASIRAJAN .N","Independent",1415,"Tamil Nadu","Ramanathapuram",0
"PALPANDI .C","Independent",1355,"Tamil Nadu","Ramanathapuram",0
"THENNARASU .P","Independent",1321,"Tamil Nadu","Ramanathapuram",0
"SASI KUMAR .S","Independent",1220,"Tamil Nadu","Ramanathapuram",0
"BALAKRISHNAN .S.S.","Independent",1171,"Tamil Nadu","Ramanathapuram",0
"SATHIAH .G","Independent",1129,"Tamil Nadu","Ramanathapuram",0
"THIAGARAJAN .R","Independent",1037,"Tamil Nadu","Ramanathapuram",0
"KANNATHASAN .R","Independent",999,"Tamil Nadu","Ramanathapuram",0
"PERIYASAMY .P","Independent",985,"Tamil Nadu","Ramanathapuram",0
"AMIRTHALINGAM .U","Independent",941,"Tamil Nadu","Ramanathapuram",0
"VETRIVEL .S","Independent",914,"Tamil Nadu","Ramanathapuram",0
"AZHAGU MEENA .A","Independent",835,"Tamil Nadu","Ramanathapuram",0
"MURUGESWARI","Independent",814,"Tamil Nadu","Ramanathapuram",0
"AYYAPPAN .S","Independent",785,"Tamil Nadu","Ramanathapuram",0
"ALLAPICHAI .E","Independent",747,"Tamil Nadu","Ramanathapuram",0
"SUBBIAH .M","Independent",645,"Tamil Nadu","Ramanathapuram",0
"VELCHSAMY .R","Independent",577,"Tamil Nadu","Ramanathapuram",0
"RAVI .K","Independent",478,"Tamil Nadu","Ramanathapuram",0
"MOOKAIYA .S","Independent",423,"Tamil Nadu","Ramanathapuram",0
"JEYASINGH THIYAGARAJ NATTERJEE.J","All India Anna Dravida Munnetra Kazhagam",366052,"Tamil Nadu","Thoothukkudi",1
"JEGAN. P","Dravida Munnetra Kazhagam",242050,"Tamil Nadu","Thoothukkudi",0
"JOEL. S","Marumalarchi Dravida Munnetra Kazhagam",182191,"Tamil Nadu","Thoothukkudi",0
"SHANMUGAM, A.P.C.V.","Indian National Congress",63080,"Tamil Nadu","Thoothukkudi",0
"PUSHPARAYAN.M.","Aam Aadmi Party",26476,"Tamil Nadu","Thoothukkudi",0
"MOHANRAJ. A","Communist Party of India",14993,"Tamil Nadu","Thoothukkudi",0
"None of the Above","None of the Above",11447,"Tamil Nadu","Thoothukkudi",0
"AYYADURAI. S","Bahujan Samaj Party",3205,"Tamil Nadu","Thoothukkudi",0
"ALWARSAMY KARTHIKEYAN.L","Independent",1727,"Tamil Nadu","Thoothukkudi",0
"SAMUEL. A.S.","Independent",1157,"Tamil Nadu","Thoothukkudi",0
"PANNEERSELVAM.C","Independent",1129,"Tamil Nadu","Thoothukkudi",0
"VINSTON ANTO. S","Independent",983,"Tamil Nadu","Thoothukkudi",0
"RAMKUMAR. V","Independent",784,"Tamil Nadu","Thoothukkudi",0
"SANTHADEVI. S","Independent",765,"Tamil Nadu","Thoothukkudi",0
"ANANDHARAJ, M.","Independent",739,"Tamil Nadu","Thoothukkudi",0
"VASANTHI.M","All India Anna Dravida Munnetra Kazhagam",424586,"Tamil Nadu","Tenkasi",1
"DR.KRISHNASAMY.K.","Puthiya Tamilagam",262812,"Tamil Nadu","Tenkasi",0
"DR.SADHAN THIRUMALAIKUMAR.T.","Marumalarchi Dravida Munnetra Kazhagam",190233,"Tamil Nadu","Tenkasi",0
"DR.JAYAKUMAR.K.","Indian National Congress",58963,"Tamil Nadu","Tenkasi",0
"LINGAM.P","Communist Party of India",23528,"Tamil Nadu","Tenkasi",0
"None of the Above","None of the Above",14492,"Tamil Nadu","Tenkasi",0
"KRISHNASAMY.A.","Independent",12115,"Tamil Nadu","Tenkasi",0
"GUNASEKARAN.K.","Tamil Nadu Makkal Congress",8022,"Tamil Nadu","Tenkasi",0
"RADHAKRISHNAN.S.","Independent",3904,"Tamil Nadu","Tenkasi",0
"MANMATHAN,M.","Independent",3331,"Tamil Nadu","Tenkasi",0
"KANNAN","Bahujan Samaj Party",2917,"Tamil Nadu","Tenkasi",0
"MUNEESWARAN","Independent",2513,"Tamil Nadu","Tenkasi",0
"MAGESH.S.","Independent",2163,"Tamil Nadu","Tenkasi",0
"GANESAN.S.","Independent",1809,"Tamil Nadu","Tenkasi",0
"JANAGAR RAJA","Independent",1777,"Tamil Nadu","Tenkasi",0
"POONGANI.J.","Samata Party",1454,"Tamil Nadu","Tenkasi",0
"VELLADURAI.P.","Independent",1216,"Tamil Nadu","Tenkasi",0
"ALAGUMALAI.V.","Independent",1215,"Tamil Nadu","Tenkasi",0
"MEENASHISUNDARAVADIVEL.T.","Communist Party of India (Marxist-Leninist) Red Star",888,"Tamil Nadu","Tenkasi",0
"PRABAKARAN.K.R.P","All India Anna Dravida Munnetra Kazhagam",398139,"Tamil Nadu","Tirunelveli",1
"DEVADASA SUNDARAM","Dravida Munnetra Kazhagam",272040,"Tamil Nadu","Tirunelveli",0
"SIVANANENTHAPERUMAL.S.","Desiya Murpokku Dravida Kazhagam",127370,"Tamil Nadu","Tirunelveli",0
"RAMASUBBU.S.S","Indian National Congress",62863,"Tamil Nadu","Tirunelveli",0
"DHEVANATHAN YADAV.T.","Tamil Nadu Makkal Congress",19381,"Tamil Nadu","Tirunelveli",0
"SESURAJ.M.P","Aam Aadmi Party",18353,"Tamil Nadu","Tirunelveli",0
"MOHAMED MUBARAK.V.M.S","SOCIAL DEMOCRATIC PARTY OF INDIA",14877,"Tamil Nadu","Tirunelveli",0
"None of the Above","None of the Above",12893,"Tamil Nadu","Tirunelveli",0
"THEVENDRAN.T.","Bahujan Samaj Party",4692,"Tamil Nadu","Tirunelveli",0
"DEVADOSS.A.R","Independent",3394,"Tamil Nadu","Tirunelveli",0
"SELVAGANAPATHY.G","Independent",3233,"Tamil Nadu","Tirunelveli",0
"DHANARAJ.R.","Indian Christian Secular Party",3062,"Tamil Nadu","Tirunelveli",0
"MOHAN.T","Independent",2518,"Tamil Nadu","Tirunelveli",0
"LAKSHMANAN @ LAKKAN.A","Independent",1850,"Tamil Nadu","Tirunelveli",0
"PATHMANABAN.K","Independent",1823,"Tamil Nadu","Tirunelveli",0
"SUBRAMANIAN @ S.S.S.MANI.S","Independent",1751,"Tamil Nadu","Tirunelveli",0
"RAJI YADAV","Independent",1579,"Tamil Nadu","Tirunelveli",0
"GERMANUS.S","Independent",1446,"Tamil Nadu","Tirunelveli",0
"RAJAMARAVAN @ MANICKAVASAGAM.S","Independent",1391,"Tamil Nadu","Tirunelveli",0
"VEILUMUTHUKUMAR.P","Independent",1387,"Tamil Nadu","Tirunelveli",0
"SURESH KUMAR.S","Independent",1281,"Tamil Nadu","Tirunelveli",0
"DR.GANESAN.M","Independent",1262,"Tamil Nadu","Tirunelveli",0
"SUBRAMANIAN.K","Independent",1196,"Tamil Nadu","Tirunelveli",0
"MURUGAN.S","Independent",1159,"Tamil Nadu","Tirunelveli",0
"VENKATESH.A","Independent",1052,"Tamil Nadu","Tirunelveli",0
"RAJESHKANNAN","Independent",947,"Tamil Nadu","Tirunelveli",0
"SARAVANAN.P","Independent",740,"Tamil Nadu","Tirunelveli",0
"ELIZABETH.D","Independent",651,"Tamil Nadu","Tirunelveli",0
"RADHAKRISHNAN P.","Bharatiya Janata Party",372906,"Tamil Nadu","Kanniyakumari",1
"VASANTHA KUMAR H.","Indian National Congress",244244,"Tamil Nadu","Kanniyakumari",0
"JOHN THANKAM D.","All India Anna Dravida Munnetra Kazhagam",176239,"Tamil Nadu","Kanniyakumari",0
"RAAJARATHINUM F.M.","Dravida Munnetra Kazhagam",117933,"Tamil Nadu","Kanniyakumari",0
"BELLARMIN A.V.","Communist Party of India  (Marxist)",35284,"Tamil Nadu","Kanniyakumari",0
"UDAYAKUMAR S.P.","Aam Aadmi Party",15314,"Tamil Nadu","Kanniyakumari",0
"None of the Above","None of the Above",4150,"Tamil Nadu","Kanniyakumari",0
"NAGOOR MEERAN PEER MOHAMEAD U.","Independent",3851,"Tamil Nadu","Kanniyakumari",0
"JAWAHAR J.","Bahujan Samaj Party",3236,"Tamil Nadu","Kanniyakumari",0
"NALLA THAMPY C.","Independent",2391,"Tamil Nadu","Kanniyakumari",0
"BALA SUBRAMANIAN T.","Independent",1737,"Tamil Nadu","Kanniyakumari",0
"ANTHONY MUTHU","Communist Party of India  (Marxist-Leninist)  (Liberation)",1647,"Tamil Nadu","Kanniyakumari",0
"MANIKANDAN I.","Independent",1557,"Tamil Nadu","Kanniyakumari",0
"VASANTHA KUMAR L.","Independent",1474,"Tamil Nadu","Kanniyakumari",0
"RAJESH KUMAR K.R.","Independent",1437,"Tamil Nadu","Kanniyakumari",0
"PADMANABHAN S.","Independent",1246,"Tamil Nadu","Kanniyakumari",0
"KAMARAJ K.","Independent",955,"Tamil Nadu","Kanniyakumari",0
"SEETHARAMADHAS P.","Independent",930,"Tamil Nadu","Kanniyakumari",0
"VASANTHEESVARAN E.","Independent",791,"Tamil Nadu","Kanniyakumari",0
"KAMARAJ G.","Independent",591,"Tamil Nadu","Kanniyakumari",0
"SARASWATHI S.","Independent",536,"Tamil Nadu","Kanniyakumari",0
"RADHAKRISHNAN T.","Independent",534,"Tamil Nadu","Kanniyakumari",0
"JOSE BILBIN J.","Independent",504,"Tamil Nadu","Kanniyakumari",0
"PAULRAJ C.M.","Communist Party of India (Marxist-Leninist) Red Star",436,"Tamil Nadu","Kanniyakumari",0
"WILSON I.","Independent",421,"Tamil Nadu","Kanniyakumari",0
"SHALIN RICHARD J.","Indians Victory Party",398,"Tamil Nadu","Kanniyakumari",0
"SANKAR PRASAD DATTA","Communist Party of India  (Marxist)",671665,"Tripura","Tripura West",1
"ARUNODAY SAHA","Indian National Congress",168179,"Tripura","Tripura West",0
"RATAN CHAKRABORTI","All India Trinamool Congress",117727,"Tripura","Tripura West",0
"SUDHINDRA CHANDRA DASGUPTA","Bharatiya Janata Party",54706,"Tripura","Tripura West",0
"None of the Above","None of the Above",12699,"Tripura","Tripura West",0
"BINAY DEBBARMA","Indigenousn People's Front Of Tripura",11040,"Tripura","Tripura West",0
"ARUN KUMAR BHOWMIK","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",8202,"Tripura","Tripura West",0
"JOGANATI DATTA","Independent",5947,"Tripura","Tripura West",0
"SALIL SAHA","Aam Aadmi Party",4981,"Tripura","Tripura West",0
"SUBAL BHOWMIK","Tripura Pragatishil Gramin Congress",4690,"Tripura","Tripura West",0
"PARTHA KARMAKAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",4226,"Tripura","Tripura West",0
"KAMAL KANTI DEBNATH","Independent",3747,"Tripura","Tripura West",0
"RAKHAL RAJ DATTA","Amra Bangalee",2879,"Tripura","Tripura West",0
"PJECH DEBBARMA","Jai Maha Bharath Party",2061,"Tripura","Tripura West",0
"JITENDRA CHOUDHURY","Communist Party of India  (Marxist)",623771,"Tripura","Tripura East",1
"SACHITRA DEBBARMA","Indian National Congress",139413,"Tripura","Tripura East",0
"BHRIGURAM REANG","All India Trinamool Congress",77028,"Tripura","Tripura East",0
"PARIKSHIT DEBBARMA","Bharatiya Janata Party",60613,"Tripura","Tripura East",0
"None of the Above","None of the Above",11084,"Tripura","Tripura East",0
"NARENDRA CHANDRA DEB BARMA","Indigenousn People's Front Of Tripura",10286,"Tripura","Tripura East",0
"PRABIDDHA REANG","Independent",5066,"Tripura","Tripura East",0
"KARNA BIJOY JAMATIA","Aam Aadmi Party",4871,"Tripura","Tripura East",0
"FALGUNI TRIPURA","Communist Party of India  (Marxist-Leninist)  (Liberation)",4444,"Tripura","Tripura East",0
"BASU MOG","Tripura Pragatishil Gramin Congress",4262,"Tripura","Tripura East",0
"SUBARNA MALA DEBBARMA","Amra Bangalee",4152,"Tripura","Tripura East",0
"BIKASH DEBBARMA","Jai Maha Bharath Party",3116,"Tripura","Tripura East",0
"PATAL KANYA JAMATIA","Independent",3004,"Tripura","Tripura East",0
"RAGHAV LAKHANPAL","Bharatiya Janata Party",472999,"Uttar Pradesh","Saharanpur",1
"IMRAN MASOOD","Indian National Congress",407909,"Uttar Pradesh","Saharanpur",0
"JAGDISH SINGH RANA","Bahujan Samaj Party",235033,"Uttar Pradesh","Saharanpur",0
"SHAZAN MASOOD URF SHADAN MASOOD","Samajwadi Party",52765,"Uttar Pradesh","Saharanpur",0
"None of the Above","None of the Above",6267,"Uttar Pradesh","Saharanpur",0
"HANSRAJ SAINI","Independent",4068,"Uttar Pradesh","Saharanpur",0
"SESHRAJ","Independent",4057,"Uttar Pradesh","Saharanpur",0
"YOGESH KUMAR","Aam Aadmi Party",3065,"Uttar Pradesh","Saharanpur",0
"CP VERMA","Independent",2114,"Uttar Pradesh","Saharanpur",0
"SHIV KUMAR","Ambedkar Samaj Party",1888,"Uttar Pradesh","Saharanpur",0
"RATAN SINGH","Bahujan Mukti Party",1366,"Uttar Pradesh","Saharanpur",0
"RAGHUVEER SINGH BODH","Independent",1066,"Uttar Pradesh","Saharanpur",0
"MOHD. FIROZ AFTAB","Independent",692,"Uttar Pradesh","Saharanpur",0
"SHAHANAVAJ","Rashtriya Janmorcha",553,"Uttar Pradesh","Saharanpur",0
"RAJENDER KUMAR","Adarsh Rashtriya Vikas Party",466,"Uttar Pradesh","Saharanpur",0
"HUKUM SINGH","Bharatiya Janata Party",565909,"Uttar Pradesh","Kairana",1
"NAHID HASAN","Samajwadi Party",329081,"Uttar Pradesh","Kairana",0
"KANWAR HASAN","Bahujan Samaj Party",160414,"Uttar Pradesh","Kairana",0
"KARTAR SINGH BHADANA","Rashtriya Lok Dal",42706,"Uttar Pradesh","Kairana",0
"DIVAKAR KASHYAP","All India Trinamool Congress",6562,"Uttar Pradesh","Kairana",0
"None of the Above","None of the Above",3903,"Uttar Pradesh","Kairana",0
"KRISHANPAL","Independent",2971,"Uttar Pradesh","Kairana",0
"SUNIL KUMAR KASANA","Aam Aadmi Party",2663,"Uttar Pradesh","Kairana",0
"MOHANLAL","Independent",1741,"Uttar Pradesh","Kairana",0
"RAMKARAN KASHYAP","Bhartiya Vanchitsamaj Party",1378,"Uttar Pradesh","Kairana",0
"PARDIP","Bahujan Mukti Party",1050,"Uttar Pradesh","Kairana",0
"SUNITA","Janata Dal  (United)",946,"Uttar Pradesh","Kairana",0
"(DR.) SANJEEV KUMAR BALYAN","Bharatiya Janata Party",653391,"Uttar Pradesh","Muzaffarnagar",1
"KADIR RANA","Bahujan Samaj Party",252241,"Uttar Pradesh","Muzaffarnagar",0
"VIRENDER SINGH","Samajwadi Party",160810,"Uttar Pradesh","Muzaffarnagar",0
"PANKAJ AGARWAL","Indian National Congress",12937,"Uttar Pradesh","Muzaffarnagar",0
"None of the Above","None of the Above",4739,"Uttar Pradesh","Muzaffarnagar",0
"RAJESH DEVI ALIAS RADHIKA BALIYAN","All India Trinamool Congress",4129,"Uttar Pradesh","Muzaffarnagar",0
"RAKESH","Independent",3482,"Uttar Pradesh","Muzaffarnagar",0
"PHOOL SINGH PAL","Independent",3431,"Uttar Pradesh","Muzaffarnagar",0
"ANIL KUMAR","Bahujan Mukti Party",2238,"Uttar Pradesh","Muzaffarnagar",0
"MOHAMMED YAMIN","Aam Aadmi Party",1931,"Uttar Pradesh","Muzaffarnagar",0
"SHANDAR GUFRAN","Independent",1864,"Uttar Pradesh","Muzaffarnagar",0
"GUFRAN AHMAD","Independent",1682,"Uttar Pradesh","Muzaffarnagar",0
"JAGBIR SINGH","Independent",845,"Uttar Pradesh","Muzaffarnagar",0
"NASEEM AHMAD ANSARI","Independent",750,"Uttar Pradesh","Muzaffarnagar",0
"ANKUR","Independent",723,"Uttar Pradesh","Muzaffarnagar",0
"MO. YAMIN","All India Ravidas Samata Party",543,"Uttar Pradesh","Muzaffarnagar",0
"LALIT CHAUHAN","Janata Dal  (United)",499,"Uttar Pradesh","Muzaffarnagar",0
"SHABNAM","Independent",487,"Uttar Pradesh","Muzaffarnagar",0
"MANGE RAM KASHYAP","Majdoor Kisan Union Party",362,"Uttar Pradesh","Muzaffarnagar",0
"CHATAR SINGH KASHYAP","Vanchit Jamat Party",350,"Uttar Pradesh","Muzaffarnagar",0
"KUNWAR BHARTENDRA","Bharatiya Janata Party",486913,"Uttar Pradesh","Bijnor",1
"SHAHNAWAZ RANA","Samajwadi Party",281139,"Uttar Pradesh","Bijnor",0
"MALOOK NAGAR","Bahujan Samaj Party",230124,"Uttar Pradesh","Bijnor",0
"JAYA PRADA NAHATA","Rashtriya Lok Dal",24348,"Uttar Pradesh","Bijnor",0
"MOHAMMAD MOOSA","Peace Party",15801,"Uttar Pradesh","Bijnor",0
"None of the Above","None of the Above",5775,"Uttar Pradesh","Bijnor",0
"GAJRESH KUMAR","Independent",3317,"Uttar Pradesh","Bijnor",0
"UMESH ALIES PANI","Independent",2967,"Uttar Pradesh","Bijnor",0
"KAMAL","Independent",2545,"Uttar Pradesh","Bijnor",0
"GAURAV","Aam Aadmi Party",2483,"Uttar Pradesh","Bijnor",0
"UDAY ALIES UDAYVEER","Bharatiya Momin Front",2456,"Uttar Pradesh","Bijnor",0
"MOHAMAD ADEEB","Rashtrawadi Samaj Party",1756,"Uttar Pradesh","Bijnor",0
"PARVEZ AQIL","All India Minorities Front",722,"Uttar Pradesh","Bijnor",0
"YASHWANT SINGH","Bharatiya Janata Party",367825,"Uttar Pradesh","Nagina",1
"YASHVIR SINGH","Samajwadi Party",275435,"Uttar Pradesh","Nagina",0
"GIRISH CHANDRA","Bahujan Samaj Party",245685,"Uttar Pradesh","Nagina",0
"SHEESHRAM SINGH RAVI","Peace Party",21334,"Uttar Pradesh","Nagina",0
"None of the Above","None of the Above",6470,"Uttar Pradesh","Nagina",0
"BHAGWAN DASS RATHOR","Mahan Dal",4581,"Uttar Pradesh","Nagina",0
"SUNIL","Independent",4328,"Uttar Pradesh","Nagina",0
"SARIKA","Aam Aadmi Party",3695,"Uttar Pradesh","Nagina",0
"SHAMSHER","Independent",3577,"Uttar Pradesh","Nagina",0
"OMPRAKASH RAVI","Shivsena",2967,"Uttar Pradesh","Nagina",0
"TEJ SINGH","Ambedkar Samaj Party",1845,"Uttar Pradesh","Nagina",0
"ASARPAT SINGH","Independent",1714,"Uttar Pradesh","Nagina",0
"MANJU DEVI","Lok Dal",1027,"Uttar Pradesh","Nagina",0
"SHARISHTHA KUMAR SINGH","Jai Maha Bharath Party",861,"Uttar Pradesh","Nagina",0
"VINOD KUMAR","Bahujan Mukti Party",852,"Uttar Pradesh","Nagina",0
"KUNWER SARVESH KUMAR","Bharatiya Janata Party",485224,"Uttar Pradesh","Moradabad",1
"DR S T HASAN","Samajwadi Party",397720,"Uttar Pradesh","Moradabad",0
"HAJI MOHD YAQOOB","Bahujan Samaj Party",160945,"Uttar Pradesh","Moradabad",0
"ENGINEER MOHAMMAD IRFAN","Peace Party",25840,"Uttar Pradesh","Moradabad",0
"BEGUM NOOR BANO URF MEHTAB","Indian National Congress",19732,"Uttar Pradesh","Moradabad",0
"SAURABH PRATAP SINGH","All India Trinamool Congress",5647,"Uttar Pradesh","Moradabad",0
"None of the Above","None of the Above",5207,"Uttar Pradesh","Moradabad",0
"VIMAL KUMAR","Aam Aadmi Party",4469,"Uttar Pradesh","Moradabad",0
"HARIOM","Naya Daur Party",4097,"Uttar Pradesh","Moradabad",0
"NAFISUDDIN","Communist Party of India  (Marxist)",3180,"Uttar Pradesh","Moradabad",0
"AMIT KUMAR","Bahujan Mukti Party",3047,"Uttar Pradesh","Moradabad",0
"SANDEEP KUMAR","Sarva Samaj Kalyan Party",2971,"Uttar Pradesh","Moradabad",0
"SATISH CHANDRA SHARMA","Naitik Party",2267,"Uttar Pradesh","Moradabad",0
"TEAJ SINGH SAINI","Rashtriya Samanta Dal",1710,"Uttar Pradesh","Moradabad",0
"JAIPAL SINGH SAINI","Shivsena",1334,"Uttar Pradesh","Moradabad",0
"ROOPA CHANDRA SINGH","Independent",1282,"Uttar Pradesh","Moradabad",0
"RAJ KUMAR GUPTA","Independent",1278,"Uttar Pradesh","Moradabad",0
"KAMAR ALAM","Indian Bahujan Samajwadi Party",1059,"Uttar Pradesh","Moradabad",0
"MOHD ZAFAR IQBAL","Akhil Bharatiya Muslim League (Secular)",956,"Uttar Pradesh","Moradabad",0
"DR. NEPAL SINGH","Bharatiya Janata Party",358616,"Uttar Pradesh","Rampur",1
"NASEER AHMAD KHAN","Samajwadi Party",335181,"Uttar Pradesh","Rampur",0
"NAWAB KAZIM ALI KHAN","Indian National Congress",156466,"Uttar Pradesh","Rampur",0
"AKBAR HUSAIN","Bahujan Samaj Party",81006,"Uttar Pradesh","Rampur",0
"None of the Above","None of the Above",6905,"Uttar Pradesh","Rampur",0
"JANNAT NISHA","All India Minorities Front",4473,"Uttar Pradesh","Rampur",0
"JAGMOHAN","Independent",2505,"Uttar Pradesh","Rampur",0
"NAVED MIAN","Independent",2448,"Uttar Pradesh","Rampur",0
"VIJENDRA SINGH","Rashtriya Congress (Babu Jagjivanram)",2079,"Uttar Pradesh","Rampur",0
"TEJPAL SINGH","Independent",2063,"Uttar Pradesh","Rampur",0
"SYED SALMAN ALI","Aam Aadmi Party",1996,"Uttar Pradesh","Rampur",0
"JAGDISH SARAN SAGAR","Independent",1834,"Uttar Pradesh","Rampur",0
"AKBAR MASOOD","Independent",817,"Uttar Pradesh","Rampur",0
"SATYAPAL SINGH","Bharatiya Janata Party",360242,"Uttar Pradesh","Sambhal",1
"DR SHAFIQ- UR RAHMAN BARQ","Samajwadi Party",355068,"Uttar Pradesh","Sambhal",0
"AQEEL-UR -REHMAN KHAN","Bahujan Samaj Party",252640,"Uttar Pradesh","Sambhal",0
"DHARAM YADAV URF D.P.YADAV","Rashtriya Parivartan Dal",36134,"Uttar Pradesh","Sambhal",0
"ACHARYA PRAMOD KRISHNAM","Indian National Congress",16034,"Uttar Pradesh","Sambhal",0
"None of the Above","None of the Above",7658,"Uttar Pradesh","Sambhal",0
"NUTAN VIJAY ADVOCATE","Independent",6686,"Uttar Pradesh","Sambhal",0
"DR. RASHID ALI","Peace Party",6376,"Uttar Pradesh","Sambhal",0
"MOHD ASLAM URF PASHA","Republican Party of India (A)",3833,"Uttar Pradesh","Sambhal",0
"FIROZ HAIDER","Independent",3648,"Uttar Pradesh","Sambhal",0
"RASHID","Independent",2791,"Uttar Pradesh","Sambhal",0
"NANAD RAM KHADAGVANSHI","Independent",2322,"Uttar Pradesh","Sambhal",0
"AQEEL AHMAD","Independent",2005,"Uttar Pradesh","Sambhal",0
"REKHA DEVI YADAV","Sanyukt Samajwadi Dal",1565,"Uttar Pradesh","Sambhal",0
"KANWAR SINGH TANWAR","Bharatiya Janata Party",528880,"Uttar Pradesh","Amroha",1
"HUMERA AKHTAR","Samajwadi Party",370666,"Uttar Pradesh","Amroha",0
"FARHAT HASAN","Bahujan Samaj Party",162983,"Uttar Pradesh","Amroha",0
"RAKESH TIKAIT","Rashtriya Lok Dal",9539,"Uttar Pradesh","Amroha",0
"None of the Above","None of the Above",7779,"Uttar Pradesh","Amroha",0
"SYED KALBE RUSHAID RIZVI","Aam Aadmi Party",2601,"Uttar Pradesh","Amroha",0
"NARESH KUMAR","Independent",2493,"Uttar Pradesh","Amroha",0
"KHAJAN SINGH","Rashtriya Congress (Babu Jagjivanram)",2448,"Uttar Pradesh","Amroha",0
"SURENDRA SINGH","Independent",2425,"Uttar Pradesh","Amroha",0
"NARESH CHAND","Independent",1431,"Uttar Pradesh","Amroha",0
"SARVESH KUMAR SAINI","Shivsena",980,"Uttar Pradesh","Amroha",0
"HUSNEIN RAZAA","New All India Congress Party",858,"Uttar Pradesh","Amroha",0
"BRAJLAL","Bahujan Mukti Party",837,"Uttar Pradesh","Amroha",0
"RAKESH","Peace Party",749,"Uttar Pradesh","Amroha",0
"MAHESH","Republican Party of India (A)",713,"Uttar Pradesh","Amroha",0
"RAJPAL","Adarsh Rashtriya Vikas Party",478,"Uttar Pradesh","Amroha",0
"RAJENDRA AGARWAL","Bharatiya Janata Party",532981,"Uttar Pradesh","Meerut",1
"MOHD.SHAHID AKHLAK","Bahujan Samaj Party",300655,"Uttar Pradesh","Meerut",0
"SHAHID MANZOOR","Samajwadi Party",211759,"Uttar Pradesh","Meerut",0
